Time,Open,High,Low,Close,Volume
08.09.2016 02:00:00.000 GMT+0200,1.12381,1.13269,1.12345,1.12684,1233327125000
09.09.2016 02:00:00.000 GMT+0200,1.12682,1.12850,1.11985,1.12318,1152026500000
11.09.2016 02:00:00.000 GMT+0200,1.12343,1.12407,1.12293,1.12406,62826660156.25
12.09.2016 02:00:00.000 GMT+0200,1.12406,1.12684,1.12103,1.12404,1181446625000
13.09.2016 02:00:00.000 GMT+0200,1.12404,1.12602,1.12039,1.12191,1169018375000
14.09.2016 02:00:00.000 GMT+0200,1.12191,1.12740,1.12137,1.12450,1105472500000
15.09.2016 02:00:00.000 GMT+0200,1.12450,1.12843,1.12190,1.12468,1063573375000
16.09.2016 02:00:00.000 GMT+0200,1.12469,1.12480,1.11495,1.11509,1053947000000
18.09.2016 02:00:00.000 GMT+0200,1.11500,1.11608,1.11497,1.11577,45994781250
19.09.2016 02:00:00.000 GMT+0200,1.11576,1.11978,1.11507,1.11771,1147771375000
20.09.2016 02:00:00.000 GMT+0200,1.11771,1.12134,1.11495,1.11530,1133500625000
21.09.2016 02:00:00.000 GMT+0200,1.11530,1.11966,1.11230,1.11890,1286159125000
22.09.2016 02:00:00.000 GMT+0200,1.11890,1.12573,1.11849,1.12081,1340682375000
23.09.2016 02:00:00.000 GMT+0200,1.12081,1.12405,1.11938,1.12237,1157641375000
25.09.2016 02:00:00.000 GMT+0200,1.12294,1.12410,1.12228,1.12373,69180460937.5
26.09.2016 02:00:00.000 GMT+0200,1.12373,1.12792,1.12211,1.12500,1170617750000
27.09.2016 02:00:00.000 GMT+0200,1.12501,1.12589,1.11910,1.12170,1230913625000
28.09.2016 02:00:00.000 GMT+0200,1.12170,1.12369,1.11820,1.12233,1319076875000
29.09.2016 02:00:00.000 GMT+0200,1.12233,1.12497,1.11968,1.12186,1377967250000
30.09.2016 02:00:00.000 GMT+0200,1.12187,1.12507,1.11533,1.12392,1372345250000
02.10.2016 02:00:00.000 GMT+0200,1.12287,1.12442,1.12272,1.12328,45308351562.5
03.10.2016 02:00:00.000 GMT+0200,1.12328,1.12416,1.12052,1.12091,1000987125000
04.10.2016 02:00:00.000 GMT+0200,1.12093,1.12391,1.11379,1.12091,1230517000000
05.10.2016 02:00:00.000 GMT+0200,1.12091,1.12333,1.11897,1.12059,1134478875000
06.10.2016 02:00:00.000 GMT+0200,1.12059,1.12103,1.11252,1.11418,1092857875000
07.10.2016 02:00:00.000 GMT+0200,1.11418,1.12051,1.11043,1.11967,1223312500000
09.10.2016 02:00:00.000 GMT+0200,1.11815,1.12032,1.11799,1.11945,49314570312.5
10.10.2016 02:00:00.000 GMT+0200,1.11945,1.12003,1.11314,1.11405,980133000000
11.10.2016 02:00:00.000 GMT+0200,1.11405,1.11405,1.10488,1.10573,1061786625000
12.10.2016 02:00:00.000 GMT+0200,1.10574,1.10611,1.10044,1.10103,1116438375000
13.10.2016 02:00:00.000 GMT+0200,1.10103,1.10581,1.09855,1.10479,1030775375000
14.10.2016 02:00:00.000 GMT+0200,1.10480,1.10565,1.09697,1.09697,1072483000000
16.10.2016 02:00:00.000 GMT+0200,1.09690,1.09729,1.09653,1.09656,35131570312.5
17.10.2016 02:00:00.000 GMT+0200,1.09656,1.10141,1.09638,1.10109,1046412000000
18.10.2016 02:00:00.000 GMT+0200,1.10107,1.10263,1.09700,1.09746,962075500000
19.10.2016 02:00:00.000 GMT+0200,1.09746,1.10048,1.09550,1.09744,981921812500
