Local time,Open,High,Low,Close,Volume
08.09.2016 22:00:00.000 GMT+0200,1.12566,1.12710,1.12549,1.12684,61447589843.75
09.09.2016 02:00:00.000 GMT+0200,1.12682,1.12805,1.12624,1.12750,110458951171.875
09.09.2016 06:00:00.000 GMT+0200,1.12750,1.12850,1.12684,1.12724,156899179687.5
09.09.2016 10:00:00.000 GMT+0200,1.12723,1.12782,1.12598,1.12612,288525281250
09.09.2016 14:00:00.000 GMT+0200,1.12612,1.12714,1.11985,1.12135,365641898437.5
09.09.2016 18:00:00.000 GMT+0200,1.12133,1.12309,1.12030,1.12263,208449097656.25
09.09.2016 22:00:00.000 GMT+0200,1.12263,1.12354,1.12229,1.12318,22052029296.875
11.09.2016 22:00:00.000 GMT+0200,1.12343,1.12407,1.12293,1.12406,62826660644.531296
12.09.2016 02:00:00.000 GMT+0200,1.12406,1.12505,1.12351,1.12423,121914789062.5
12.09.2016 06:00:00.000 GMT+0200,1.12422,1.12639,1.12394,1.12494,183980886718.75
12.09.2016 10:00:00.000 GMT+0200,1.12494,1.12585,1.12103,1.12296,253862085937.5
12.09.2016 14:00:00.000 GMT+0200,1.12297,1.12382,1.12133,1.12290,288117781250
12.09.2016 18:00:00.000 GMT+0200,1.12290,1.12684,1.12184,1.12338,275683589843.75
12.09.2016 22:00:00.000 GMT+0200,1.12339,1.12420,1.12297,1.12404,57887440429.6875
13.09.2016 02:00:00.000 GMT+0200,1.12404,1.12410,1.12253,1.12335,130031060546.875
13.09.2016 06:00:00.000 GMT+0200,1.12335,1.12366,1.12169,1.12293,179019611328.125
13.09.2016 10:00:00.000 GMT+0200,1.12293,1.12396,1.12195,1.12340,263556152343.75
13.09.2016 14:00:00.000 GMT+0200,1.12340,1.12602,1.12235,1.12411,325143031250
13.09.2016 18:00:00.000 GMT+0200,1.12411,1.12466,1.12039,1.12137,204850156250
13.09.2016 22:00:00.000 GMT+0200,1.12136,1.12218,1.12100,1.12191,66418339843.75
14.09.2016 02:00:00.000 GMT+0200,1.12191,1.12265,1.12137,1.12250,114994980468.75
14.09.2016 06:00:00.000 GMT+0200,1.12250,1.12414,1.12194,1.12224,172968101562.5
14.09.2016 10:00:00.000 GMT+0200,1.12225,1.12362,1.12143,1.12216,276243011718.75
14.09.2016 14:00:00.000 GMT+0200,1.12215,1.12734,1.12160,1.12702,321025292968.75
